order_id,order_date,customer_id,product_id,quantity
O1001,2026-09-01,C001,P001,2
O1002,2026-09-01,C002,P003,1
O1003,2026-09-01,C003,P007,1
O1004,2026-09-01,C004,P002,3
O1005,2026-09-01,C005,P004,
O1006,2026-09-02,C001,P005,2
O1007,2026-09-02,C006,P001,1
O1008,2026-09-02,C007,P008,4
O1009,2026-09-02,C002,P007,
O1010,2026-09-02,C008,P006,2
O1011,2026-09-02,C003,P009,1
O1012,2026-09-03,C004,P003,2
O1013,2026-09-03,C005,P010,1
O1014,2026-09-03,C009,P002,5
O1015,2026-09-03,C010,P007,1
O1016,2026-09-03,C001,P004,3
O1017,2026-09-03,C002,P005,
O1018,2026-09-03,C006,P001,2
O1002,2026-09-01,C002,P003,1
O1010,2026-09-02,C008,P006,2
O1019,2026-09-03,C007,P008,0
O1020,2026-09-03,C004,P999,1
